project_id,sector,state_region,executing_agency,start_date,original_completion_date,physical_progress_pct,land_acquisition_pct,env_clearance_status,litigation_active,contractor_tier,original_budget_cr,delay_months,revised_budget_cr,expenditure_todate_cr,financial_progress_pct,cost_overrun_pct,risk_level,geo_latitude,geo_longitude,revised_completion_date
PRJ-IN-2026-0037,Highways,North-East,PWD,2024-12-30,2029-03-31,30.979842103601218,76.43392805466202,Cleared,False,Tier 2,137.3097684625427,9,137.3097684625427,46.3808862363319,33.77828595565969,0.0,Low Risk,14.149463675363148,78.80800649922,2029-12-29
PRJ-IN-2026-0038,Railways,West,Railways,2020-06-16,2022-05-17,77.7959415881618,99.7542846677861,In-Review,True,Tier 1,257.02054618459954,60,257.02054618459954,172.45605250979528,67.09815813165862,0.0,Low Risk,14.064537704512098,80.6262475584668,2027-05-17
PRJ-IN-2026-0039,Highways,East,PWD,2021-01-19,2022-12-20,89.41117426167393,90.4516058295515,Cleared,True,Tier 3,602.7986340821018,43,602.7986340821018,327.7102139271234,54.36479039574083,0.0,Low Risk,16.370596013192802,80.24610324488168,2026-07-20
PRJ-IN-2026-0040,Power & Energy,East,PWD,2020-12-13,2024-08-13,48.759094913218206,52.081420339046566,Cleared,False,Tier 1,11151.995311254655,7,11151.995311254655,7008.848310081118,62.848379276197775,0.0,Low Risk,14.726849857016049,94.70409113278556,2025-03-14
PRJ-IN-2026-0041,Railways,North,Railways,2022-12-26,2024-03-26,19.131491999102035,52.165121314234995,Cleared,False,Tier 1,145.57416561665525,3,145.57416561665525,64.24405125187376,44.13149199910203,0.0,Low Risk,32.814528594755245,77.6066752259681,2024-06-25
PRJ-IN-2026-0042,Urban Metro,East,PWD,2023-08-06,2025-09-05,99.79990839683236,90.73637171742223,Cleared,True,Tier 1,112.23061015696624,43,112.23061015696624,87.5858901677054,78.04099972833382,0.0,Low Risk,8.966894119524769,85.79356099445614,2029-04-05
PRJ-IN-2026-0043,Power & Energy,West,PWD,2021-11-08,2024-09-07,4.7032238228354455,29.12325901201252,Cleared,False,Tier 2,530.6563312168258,31,530.6563312168258,157.62203779138076,29.703223822835444,0.0,Low Risk,8.89303058926964,80.06140791726482,2027-04-08
PRJ-IN-2026-0044,Railways,West,Railways,2020-02-11,2023-01-11,54.96440429942481,77.27682434344683,Cleared,False,Tier 2,145.32564116807836,0,145.32564116807836,93.21835709988227,64.14446642080821,0.0,Low Risk,30.03708470779904,90.30045672411399,2023-01-11
PRJ-IN-2026-0045,Urban Metro,South,DMRC,2023-07-06,2025-02-03,21.96491764086044,89.05947460347575,Cleared,False,Tier 2,1157.8843137671363,0,1157.8843137671363,490.520305477942,42.363498636755104,0.0,Low Risk,9.529865105587668,96.27293291336933,2025-02-03
PRJ-IN-2026-0046,Urban Metro,East,PWD,2020-03-15,2023-07-15,93.76575909229862,98.4024368530857,Cleared,True,Tier 1,1375.9910681195322,13,1926.9352763627696,179.2259156059542,9.301086435256723,40.039809923779025,High Risk,18.73578345576702,87.65749698476844,2024-08-13
PRJ-IN-2026-0047,Railways,West,Railways,2025-03-07,2028-09-05,32.496323736290314,60.62910633706415,Cleared,True,Tier 2,2374.136457279266,47,2374.136457279266,870.175911029916,36.65231239602495,0.0,Low Risk,21.374747971673475,78.97833308682507,2032-08-05
PRJ-IN-2026-0048,Highways,East,PWD,2022-12-29,2025-04-29,95.80431175616812,84.22608814825256,Cleared,False,Tier 1,433.5541921696748,24,433.5541921696748,186.9616948377993,43.123027804706446,0.0,Low Risk,15.597345629954255,75.85669566805385,2027-04-29
PRJ-IN-2026-0049,Power & Energy,North-East,PWD,2021-07-12,2026-02-10,97.28012533266399,80.85655108631921,Cleared,False,Tier 2,1654.8212943907124,36,1654.8212943907124,755.3606069628339,45.646053113000924,0.0,Low Risk,32.19561755482985,80.72260649438115,2029-02-09
PRJ-IN-2026-0050,Highways,West,NHAI,2019-11-13,2023-03-14,94.2974839165653,96.43695218808296,In-Review,False,Tier 1,53.26539213192216,25,53.26539213192216,9.536754618144858,17.904223054483897,0.0,Low Risk,13.632084332145087,84.51509181048783,2025-04-13
PRJ-IN-2026-0051,Highways,North,NHAI,2024-01-23,2025-12-23,79.2724797341428,75.15195811575816,Pending,False,Tier 1,1200.9628200257264,8,1200.9628200257264,488.2976280786516,40.658846380289404,0.0,Low Risk,10.126274231767367,84.86136713271085,2026-08-23
PRJ-IN-2026-0052,Highways,North,PWD,2022-11-17,2027-06-18,74.12156025204128,92.60273557213328,Cleared,False,Tier 1,660.318047563398,0,660.318047563398,545.0506855469531,82.5436602192252,0.0,Low Risk,12.071252087264993,92.93684994877806,2027-06-18
PRJ-IN-2026-0053,Urban Metro,West,DMRC,2025-01-22,2027-06-23,95.27712200007927,86.50016696045206,Cleared,False,Tier 3,334.1283001891865,19,334.1283001891865,246.38574940384004,73.73986258103075,0.0,Low Risk,18.939422518313325,85.72743302952733,2029-01-21
PRJ-IN-2026-0054,Power & Energy,East,PWD,2023-08-27,2026-10-26,22.366994599526446,73.96976381556844,Pending,False,Tier 3,200.25307276792824,60,200.25307276792824,94.85386216337034,47.36699459952645,0.0,Low Risk,22.282825066858184,76.66194376148178,2031-10-26
PRJ-IN-2026-0055,Power & Energy,North-East,NTPC,2024-04-26,2026-10-26,80.99023305429631,88.2677096159294,Pending,False,Tier 3,50.0,43,67.87787036388289,47.56911435504111,70.08044610125562,35.75574072776578,High Risk,31.863267143358243,91.78866352828746,2030-05-26
PRJ-IN-2026-0056,Urban Metro,North,DMRC,2018-09-27,2022-04-27,11.348786505132413,77.87527781459627,Cleared,False,Tier 2,591.5232355521638,5,840.0055170331011,223.8251558465583,26.645676880445805,42.00718865235933,Medium Risk,10.715666867231725,82.52693864732716,2022-09-26
PRJ-IN-2026-0057,Railways,North,Railways,2018-03-13,2020-09-11,36.187796597530706,44.219277468456596,Cleared,True,Tier 1,130.30482486685594,60,159.09677008358665,78.46685540945191,49.32020641790956,22.095839694462587,High Risk,9.16281946228724,92.37528607844897,2025-09-11
PRJ-IN-2026-0058,Power & Energy,South,PWD,2023-04-08,2025-10-07,40.18318664975309,82.80730748840823,Cleared,False,Tier 1,166.50865834144113,1,166.50865834144113,91.78930609591514,55.1258457128955,0.0,Low Risk,15.458901835675693,71.15175457789668,2025-11-06
PRJ-IN-2026-0059,Highways,West,NHAI,2018-01-01,2020-10-31,99.53264229643996,85.44579652095833,Cleared,False,Tier 1,332.2311040302962,21,332.2311040302962,48.62048430428221,14.634537138295306,0.0,Low Risk,32.134493277858674,73.11785438859908,2022-08-01
PRJ-IN-2026-0060,Highways,North-East,PWD,2025-02-16,2027-07-18,32.09766652512821,88.35938282635783,In-Review,False,Tier 1,379.4826525919974,17,379.4826525919974,216.67573949768948,57.09766652512821,0.0,Low Risk,13.91821102853571,91.02107380748384,2028-12-16
PRJ-IN-2026-0061,Power & Energy,North-East,PWD,2025-01-24,2029-01-24,55.47335740035761,41.17706246205926,Cleared,False,Tier 3,98.37711002618404,60,98.37711002618404,29.36188377049601,29.84625566118079,0.0,Low Risk,18.046769802873683,96.35670924166465,2034-01-24
PRJ-IN-2026-0062,Railways,East,Railways,2022-09-06,2024-05-06,63.34907282889799,87.19741571759846,In-Review,False,Tier 1,91.947367056458,14,91.947367056458,78.31607685827015,85.17489882030237,0.0,Low Risk,26.6084922844587,90.53020102381655,2025-07-06
PRJ-IN-2026-0063,Power & Energy,North-East,NTPC,2023-11-02,2026-10-02,67.78389303593714,88.66475038139808,Cleared,False,Tier 1,79.42630804454006,39,79.42630804454006,54.956596324100204,69.1919310831898,0.0,Low Risk,12.79360545610271,92.96026931186628,2030-01-01
PRJ-IN-2026-0064,Urban Metro,North,PWD,2021-05-17,2024-06-16,12.015028336563683,85.46594198937235,Cleared,False,Tier 1,277.43713949808483,24,244.30864291300026,90.43091340292122,37.01502833656368,-11.940901872408926,Low Risk,10.874123701374618,90.87335890898956,2026-06-16
PRJ-IN-2026-0065,Power & Energy,East,PWD,2025-08-31,2028-06-30,55.91263272536639,81.74572874037365,Cleared,False,Tier 2,1036.7390110934818,25,982.1922569646904,295.76600580774453,30.11284233921397,-5.261377602764195,Low Risk,28.75905746051341,78.52489939794572,2030-07-31
PRJ-IN-2026-0066,Power & Energy,North-East,NTPC,2018-04-16,2022-03-16,63.472167220081566,82.5922827604802,Pending,False,Tier 1,307.2963188632438,16,307.2963188632438,188.19209551674325,61.241246303537544,0.0,Low Risk,18.85362854857318,89.58544374948832,2023-07-16
PRJ-IN-2026-0067,Power & Energy,South,PWD,2020-05-04,2021-10-03,90.33485216756519,94.61250817169667,Cleared,False,Tier 2,360.9062577156656,0,360.9062577156656,164.35229645958182,45.538777160540185,0.0,Low Risk,13.842409266037494,78.14351033964873,2021-10-03
PRJ-IN-2026-0068,Railways,North-East,Railways,2023-08-01,2027-01-30,95.72933783400046,81.722972560015,Pending,False,Tier 1,190.67058784161625,22,190.67058784161625,176.27039874982634,92.44760859301925,0.0,Low Risk,24.33451694010865,79.54330548105246,2028-11-29
PRJ-IN-2026-0069,Highways,South,NHAI,2024-04-21,2026-01-20,23.502720356332297,63.12924497135866,Cleared,False,Tier 3,141.4992563733212,13,162.72414482931936,52.77309164393556,32.431014892896826,14.999999999999982,Medium Risk,28.59896681156144,79.02130347578718,2027-02-19
PRJ-IN-2026-0070,Railways,North,Railways,2019-12-09,2022-05-09,21.05188593948306,81.48029126888427,Cleared,False,Tier 1,113.96698927455886,25,113.96698927455886,52.483947909382735,46.05188593948306,0.0,Low Risk,32.527853664221645,82.58859690206694,2024-06-08
PRJ-IN-2026-0071,Highways,East,PWD,2024-05-31,2025-12-30,68.37463107031402,98.41199423511294,Cleared,False,Tier 2,153.46523654664355,9,153.46523654664355,90.92641976671507,59.248870827550114,0.0,Low Risk,23.720254023365058,91.37274257968194,2026-09-29
PRJ-IN-2026-0072,Railways,North-East,Railways,2021-09-08,2024-05-09,48.948359185577026,82.72046973077622,Cleared,False,Tier 1,50.0,0,50.0,34.93802109129841,69.87604218259682,0.0,Low Risk,22.282892779123348,85.74940845685829,2024-05-09
PRJ-IN-2026-0073,Water Resources,South,PWD,2024-11-10,2027-04-11,74.35668711104536,98.91429286757585,Cleared,False,Tier 1,1198.4914995667584,0,1198.4914995667584,720.1766658153232,60.09026063811543,0.0,Low Risk,29.022987095834182,69.29868767067178,2027-04-11
PRJ-IN-2026-0074,Highways,North-East,NHAI,2020-02-20,2024-09-20,84.84719447467516,87.20240508787523,Cleared,False,Tier 3,341.2475871010679,10,341.2475871010679,190.9454206032727,55.95509765369273,0.0,Low Risk,8.436695038590305,76.78867815289823,2025-07-21
PRJ-IN-2026-0075,Highways,North,NHAI,2023-07-16,2026-09-14,1.0684652132672334,78.98181258176174,Pending,False,Tier 2,317.0544186061811,60,364.6125813971083,95.04890394470084,26.068465213267235,14.999999999999996,Medium Risk,33.198157098777564,82.4607799420589,2031-09-14
PRJ-IN-2026-0076,Highways,West,NHAI,2019-08-30,2023-01-29,87.87305012148737,87.91031351109449,Cleared,False,Tier 1,390.97767306606227,2,390.97767306606227,255.01675693957776,65.22540147618311,0.0,Low Risk,15.855076273659307,76.43111650176651,2023-03-30
PRJ-IN-2026-0077,Highways,East,NHAI,2019-02-09,2020-12-09,26.54348139756574,83.35807474455967,Cleared,False,Tier 1,149.51192512786463,19,171.93871389704432,76.33296420932851,44.39544909882026,15.0,Medium Risk,27.45562516337901,91.85290245374179,2022-07-10
PRJ-IN-2026-0078,Power & Energy,North,NTPC,2023-08-24,2027-04-24,96.93969273316549,86.16190228027062,Cleared,False,Tier 3,361.06409672683463,0,361.06409672683463,70.19800813840844,19.441979630424786,0.0,Low Risk,35.354824138220444,84.10854014926653,2027-04-24
PRJ-IN-2026-0079,Power & Energy,West,PWD,2023-06-13,2028-01-12,43.026200757827695,72.67168157895789,Cleared,True,Tier 1,113.3225955942651,53,113.3225955942651,73.01772257373948,64.4335070078775,0.0,Low Risk,20.40553898548875,87.23853436149068,2032-06-12
PRJ-IN-2026-0080,Urban Metro,West,DMRC,2020-05-07,2024-03-07,85.24474784916167,79.12636033201616,Cleared,False,Tier 1,132.07716096426142,13,132.07716096426142,26.344836581193242,19.946549720524242,0.0,Low Risk,30.77710994485465,85.68714586206191,2025-04-06
PRJ-IN-2026-0081,Power & Energy,East,PWD,2022-11-02,2024-07-02,19.993548189141798,74.224406320897,In-Review,False,Tier 1,238.30043491277192,0,238.30043491277192,42.70385171184068,17.92017363605404,0.0,Low Risk,31.29622440304724,91.42937779307711,2024-07-02
PRJ-IN-2026-0082,Railways,South,Railways,2025-07-14,2028-01-13,52.515698547801016,57.955589087593395,Cleared,False,Tier 3,266.92421768005687,43,266.92421768005687,51.32773089533403,19.22932708820634,0.0,Low Risk,27.518081293262973,78.3037601892037,2031-08-13
PRJ-IN-2026-0083,Urban Metro,North,PWD,2020-09-01,2023-10-02,6.328804925042187,67.93195021347593,Cleared,False,Tier 1,1458.816473556183,10,1480.4029221176575,130.13516542513278,8.79052340959849,1.4797233889779744,Low Risk,22.400028505992953,85.48985926350677,2024-08-01
PRJ-IN-2026-0084,Highways,North-East,PWD,2022-01-06,2024-06-06,73.48428918260427,84.7906547585731,In-Review,False,Tier 2,81.67608074115729,23,81.67608074115729,7.911110740669963,9.685957833531898,0.0,Low Risk,33.994662321164725,70.82231546074004,2026-05-07
PRJ-IN-2026-0085,Highways,West,PWD,2019-09-02,2025-03-03,94.20998374409793,76.90445613847585,In-Review,False,Tier 1,77.19205924297502,18,103.52950159818351,47.27447576758481,45.66280628981051,34.119367475748966,High Risk,12.18966772188317,96.10980147269787,2026-09-01
PRJ-IN-2026-0086,Highways,North-East,PWD,2022-02-22,2024-08-23,84.31230390982108,85.85437457374415,Pending,False,Tier 3,145.03352106814563,39,145.03352106814563,54.64480482060618,37.67736204579265,0.0,Low Risk,18.798963323912538,93.23133666048638,2027-11-23
PRJ-IN-2026-0087,Power & Energy,West,NTPC,2025-01-30,2027-12-31,68.0353074461101,81.56049040814482,Cleared,False,Tier 1,850.2505255666563,0,850.2505255666563,155.69266800693916,18.311387447032338,0.0,Low Risk,9.046067737332747,71.0149357101186,2027-12-31
PRJ-IN-2026-0088,Railways,North-East,Railways,2023-02-01,2025-06-02,11.893809741683159,26.26153674558806,Cleared,False,Tier 3,348.2315308484301,60,400.4662604756946,147.74726021953606,36.89380974168316,14.999999999999986,Medium Risk,18.827082382793787,76.87178281476278,2030-06-02
PRJ-IN-2026-0089,Highways,North,NHAI,2019-02-19,2022-04-20,98.39597891071996,75.90230557570204,Cleared,False,Tier 2,3678.7128504330235,14,3678.7128504330235,1062.141774080242,28.87264696278799,0.0,Low Risk,12.600560857760481,77.4697874277644,2023-06-20
PRJ-IN-2026-0090,Railways,East,Railways,2023-12-04,2028-04-03,34.39624506018496,86.76490819767538,Pending,False,Tier 2,226.2628740659042,43,226.2628740659042,129.28146901082707,57.137729530108814,0.0,Low Risk,18.856211079316033,85.82895416004551,2031-11-02
PRJ-IN-2026-0091,Highways,West,PWD,2021-05-18,2024-06-17,63.277285769517235,88.84803116945386,Pending,True,Tier 1,384.43522976897634,60,384.43522976897634,216.17640042543815,56.23220342093721,0.0,Low Risk,28.153809067678573,68.86838031471851,2029-06-17
PRJ-IN-2026-0092,Power & Energy,North,NTPC,2018-02-23,2020-11-23,27.298008752595827,78.74597580751144,Cleared,False,Tier 1,272.18369386582964,24,272.18369386582964,142.3466520410902,52.29800875259583,0.0,Low Risk,9.476320229629836,87.05028717293489,2022-11-23
PRJ-IN-2026-0093,Railways,North,Railways,2022-12-25,2024-11-24,82.73221419591675,98.30875727713821,Cleared,False,Tier 2,342.1134408879198,26,342.1134408879198,323.8017071508103,94.64746731681066,0.0,Low Risk,33.47332038152251,79.41686883508909,2027-01-24
PRJ-IN-2026-0094,Railways,West,Railways,2020-05-24,2024-07-24,37.842031651452665,95.63133339744815,Cleared,False,Tier 2,98.58864870362366,0,98.58864870362366,49.105935997375205,49.80891476157366,0.0,Low Risk,9.371208465187788,94.14766574199393,2024-07-24
PRJ-IN-2026-0095,Railways,North-East,Railways,2025-10-10,2028-08-09,39.06775029264722,77.88620649613087,Pending,False,Tier 1,272.221402223435,19,272.221402223435,76.05909246090387,27.94015894403327,0.0,Low Risk,15.025585254700484,83.78699251897413,2030-03-10
PRJ-IN-2026-0096,Power & Energy,West,PWD,2025-12-18,2028-09-17,0.44800274989008626,75.02850213789037,Cleared,False,Tier 2,63.43629550673962,5,105.88546773134507,26.945736740006673,25.448002749890087,66.91622183406905,Medium Risk,29.023218998507097,69.03594195201737,2029-02-16
PRJ-IN-2026-0097,Railways,North,Railways,2023-05-15,2024-05-14,57.53352690155177,91.56337558145114,In-Review,False,Tier 3,370.85615474696357,31,370.85615474696357,244.724119008603,65.98895983688854,0.0,Low Risk,13.8716341594119,75.63210625982715,2026-12-13
PRJ-IN-2026-0098,Highways,North-East,PWD,2023-01-19,2025-11-18,25.073156625604977,81.97947351047065,Cleared,False,Tier 2,416.78504761348233,16,498.7282795845081,249.72899257253582,50.07315662560497,19.66078976206895,Medium Risk,20.043719055186454,85.89652481710084,2027-03-20
PRJ-IN-2026-0099,Highways,North,NHAI,2020-06-09,2023-01-08,92.18495763552342,91.41419169424191,Cleared,False,Tier 1,192.72244123840022,6,219.74393695558305,185.0445414659397,84.20916819349735,14.020938891987614,Medium Risk,29.37853807758725,74.70436182838186,2023-07-09
PRJ-IN-2026-0100,Ports & Shipping,South,PWD,2018-07-27,2019-09-26,78.31498989683462,82.84362444570309,Cleared,False,Tier 1,110.99540186762215,6,156.1135502305952,114.23060219089595,73.17148448816008,40.64866436249573,Medium Risk,25.076582177533545,84.02434220804717,2020-03-26
